date,close,pred,powell_class,position,entry_price,exit_price,pnl,return_pct
2025-02-23,96218.4,0,-1,-1,96218.4,,,
2025-02-24,91514.5,0,-1,-1,96218.4,,,
2025-02-25,88639.1,1,-1,0,,88639.1,7579.299999999988,7.8771835740357234
2025-02-26,84208.5,1,-1,0,,,,
2025-02-27,84668.1,1,-1,0,,,,
2025-02-28,84299.6,1,-1,0,,,,
2025-03-01,86007.7,1,-1,0,,,,
2025-03-02,94222.8,1,-1,0,,,,
2025-03-03,86192.7,1,-1,0,,,,
2025-03-04,87245.9,1,-1,0,,,,
2025-03-05,90566.1,1,-1,0,,,,
2025-03-06,89887.8,1,-1,0,,,,
2025-03-07,86753.8,1,0,0,,,,
2025-03-08,86184.7,0,0,0,,,,
2025-03-09,80688.8,0,0,0,,,,
2025-03-10,78567.8,0,0,0,,,,
2025-03-11,82896.0,0,0,0,,,,
2025-03-12,83640.7,0,0,0,,,,
2025-03-13,81085.4,0,0,0,,,,
2025-03-14,83939.8,0,0,0,,,,
2025-03-15,84302.9,0,0,0,,,,
2025-03-16,82541.6,0,0,0,,,,
2025-03-17,83962.9,0,0,0,,,,
2025-03-18,82666.1,0,0,0,,,,
2025-03-19,86809.8,0,0,0,,,,
2025-03-20,84183.6,0,0,0,,,,
2025-03-21,84050.3,0,0,0,,,,
2025-03-22,83804.9,0,0,0,,,,
2025-03-23,86044.2,0,0,0,,,,
2025-03-24,87463.4,0,0,0,,,,
2025-03-25,87369.8,1,0,0,,,,
2025-03-26,86873.8,1,0,0,,,,
2025-03-27,87191.2,1,0,0,,,,
2025-03-28,84380.8,1,0,0,,,,
2025-03-29,82604.7,1,0,0,,,,
2025-03-30,82352.8,1,0,0,,,,
2025-03-31,82517.5,1,0,0,,,,
2025-04-01,85120.9,1,0,0,,,,
2025-04-02,82485.1,1,0,0,,,,
2025-04-03,83181.5,1,0,0,,,,
2025-04-04,83861.3,1,1,1,83861.3,,,
2025-04-05,83506.1,1,1,1,83861.3,,,
2025-04-06,78390.0,1,1,1,83861.3,,,
2025-04-07,79140.0,0,1,0,,79140.0,-4721.300000000003,-5.629891260927272
2025-04-08,76297.9,0,1,0,,,,
2025-04-09,82588.0,0,1,0,,,,
2025-04-10,79560.2,0,1,0,,,,
2025-04-11,83378.3,0,1,0,,,,
2025-04-12,85237.8,0,1,0,,,,
2025-04-13,83713.7,0,1,0,,,,
2025-04-14,84553.9,0,1,0,,,,
2025-04-15,83608.7,0,1,0,,,,
2025-04-16,83990.0,0,1,0,,,,
2025-04-17,84915.0,0,1,0,,,,
2025-04-18,84421.0,0,1,0,,,,
2025-04-19,85046.9,0,1,0,,,,
2025-04-20,85138.8,0,1,0,,,,
2025-04-21,87466.0,0,1,0,,,,
2025-04-22,93404.9,0,1,0,,,,
2025-04-23,93632.1,1,1,1,93632.1,,,
2025-04-24,93931.6,1,1,1,93632.1,,,
2025-04-25,94591.8,1,1,1,93632.1,,,
2025-04-26,94575.7,0,1,0,,94575.7,943.5999999999913,1.0077740433035158
2025-04-27,93697.1,1,1,1,93697.1,,,
2025-04-28,94969.0,1,1,1,93697.1,,,
2025-04-29,94200.1,1,1,1,93697.1,,,
2025-04-30,94125.1,1,1,1,93697.1,,,
2025-05-01,96423.3,1,1,1,93697.1,,,
2025-05-02,96831.2,1,1,1,93697.1,,,
2025-05-03,95803.3,1,1,1,93697.1,,,
2025-05-04,94230.2,1,1,1,93697.1,,,
2025-05-05,94696.7,1,1,1,93697.1,,,
2025-05-06,96798.9,1,1,1,93697.1,,,
2025-05-07,96988.4,1,1,1,93697.1,,,
2025-05-08,103228.1,1,1,1,93697.1,,,
2025-05-09,102941.9,1,1,1,93697.1,,,
2025-05-10,104788.8,1,1,1,93697.1,,,
2025-05-11,104072.7,1,1,1,93697.1,,,
2025-05-12,102739.3,1,1,1,93697.1,,,
2025-05-13,104082.0,1,1,1,93697.1,,,
2025-05-14,103458.1,1,1,1,93697.1,,,
2025-05-15,103714.5,1,1,1,93697.1,,,
2025-05-16,103412.2,1,1,1,93697.1,,,
2025-05-17,103079.6,1,1,1,93697.1,,,
2025-05-18,106407.6,1,1,1,93697.1,,,
2025-05-19,105531.6,1,1,1,93697.1,,,
2025-05-20,106800.1,1,1,1,93697.1,,,
2025-05-21,109609.5,1,1,1,93697.1,,,
2025-05-22,111662.7,1,1,1,93697.1,,,
2025-05-23,107271.5,1,1,1,93697.1,,,
2025-05-24,107698.9,1,1,1,93697.1,,,
2025-05-25,108955.9,1,-1,1,93697.1,,,
2025-05-26,109386.8,1,-1,1,93697.1,,,
2025-05-27,108889.3,1,-1,1,93697.1,,,
2025-05-28,107723.1,0,-1,0,,107723.1,14026.0,14.969513464130694
2025-05-29,105539.9,0,-1,-1,105539.9,,,
2025-05-30,103950.0,0,-1,-1,105539.9,,,
2025-05-31,104544.7,0,-1,-1,105539.9,,,
2025-06-01,105583.3,0,-1,-1,105539.9,,,
2025-06-02,105814.3,0,-1,-1,105539.9,,,
2025-06-03,105330.1,1,-1,0,,105330.1,209.79999999998836,0.19878737804374305
2025-06-04,104641.8,1,-1,0,,,,
2025-06-05,101458.6,1,-1,0,,,,
2025-06-06,104240.0,1,-1,0,,,,
2025-06-07,105507.5,1,-1,0,,,,
2025-06-08,105676.5,0,-1,-1,105676.5,,,
2025-06-09,110227.9,1,-1,0,,110227.9,-4551.399999999994,-4.306917810487662
2025-06-10,110235.4,1,-1,0,,,,
2025-06-11,108600.0,1,-1,0,,,,
2025-06-12,105609.5,1,-1,0,,,,
2025-06-13,106027.3,1,-1,0,,,,
