,Date,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,symbol,interval
0,2020-10-01,10773.0,10935.14,10442.0,10612.63,253619.622,2711075914.6154,794540,130468.053,1395487100.6098,BTCUSDT,1d
1,2020-10-02,10612.62,10660.0,10371.03,10565.15,224747.037,2359977989.11924,764820,113926.065,1196694184.88022,BTCUSDT,1d
2,2020-10-03,10565.44,10596.0,10491.11,10537.96,76315.911,804408980.87426,434460,40622.782,428207977.98654,BTCUSDT,1d
3,2020-10-04,10537.96,10694.0,10514.0,10660.16,90912.105,964435994.41114,492034,50394.855,534651963.58343,BTCUSDT,1d
4,2020-10-05,10660.16,10792.0,10608.9,10785.0,130589.137,1397359152.98443,593867,70197.411,751308813.67803,BTCUSDT,1d
5,2020-10-06,10784.99,10792.0,10510.66,10593.65,184895.25,1971152604.95732,699471,90311.669,962975799.00648,BTCUSDT,1d
6,2020-10-07,10593.65,10675.0,10540.29,10658.75,106700.522,1132125130.95176,502888,55471.502,588657572.25471,BTCUSDT,1d
7,2020-10-08,10658.75,10958.0,10523.0,10919.45,207938.861,2236764143.48042,754390,110601.014,1190141239.19826,BTCUSDT,1d
8,2020-10-09,10919.45,11110.0,10818.44,11050.47,154336.818,1697348173.83417,640685,79025.665,869063867.98832,BTCUSDT,1d
9,2020-10-10,11050.46,11494.0,11050.46,11294.79,199398.012,2259937270.69761,731572,98369.054,1114371848.52463,BTCUSDT,1d
10,2020-10-11,11294.78,11450.73,11273.77,11369.59,146323.076,1662984690.97067,587941,70072.329,796465960.35303,BTCUSDT,1d
11,2020-10-12,11369.59,11732.0,11157.0,11530.36,254217.203,2913019650.11615,781051,123464.434,1415402006.56224,BTCUSDT,1d
12,2020-10-13,11530.37,11562.0,11308.0,11419.36,199115.115,2276664144.17067,693780,95540.483,1092713247.22039,BTCUSDT,1d
13,2020-10-14,11419.36,11550.0,11280.5,11417.13,192936.97,2198967087.67917,694620,93295.555,1063382407.09052,BTCUSDT,1d
14,2020-10-15,11417.12,11649.48,11250.0,11502.0,215260.399,2455108608.64026,768321,114746.857,1309213591.497,BTCUSDT,1d
15,2020-10-16,11502.0,11538.92,11175.0,11318.92,212339.085,2406176538.70338,725825,98735.212,1119053627.21275,BTCUSDT,1d
16,2020-10-17,11319.51,11424.09,11250.0,11356.25,95892.966,1086838512.10945,459443,48001.372,544169515.57417,BTCUSDT,1d
17,2020-10-18,11356.25,11529.93,11342.54,11501.1,92472.191,1056889045.95337,444193,50893.731,581765716.60191,BTCUSDT,1d
18,2020-10-19,11501.5,11830.0,11404.01,11745.0,230161.648,2677138464.51185,770332,121302.088,1410835904.42171,BTCUSDT,1d
19,2020-10-20,11744.99,12045.78,11673.0,11900.03,312811.802,3710691439.20796,1059398,160448.693,1903506839.76031,BTCUSDT,1d
20,2020-10-21,11900.03,13240.0,11876.0,12796.07,591963.069,7435850474.64387,1870576,305797.698,3837865012.63553,BTCUSDT,1d
21,2020-10-22,12796.06,13188.27,12675.5,12968.87,343851.666,4448237306.19638,1232587,162855.788,2107012797.4045,BTCUSDT,1d
22,2020-10-23,12970.39,13043.0,12725.04,12925.82,237042.526,3059965867.59326,897416,112051.403,1446911171.49377,BTCUSDT,1d
23,2020-10-24,12925.82,13177.59,12871.07,13110.88,176146.631,2296046388.61355,801400,87149.401,1136114842.80262,BTCUSDT,1d
24,2020-10-25,13110.88,13369.0,12715.0,13023.81,206012.652,2690867875.55715,889235,100425.308,1311919681.18729,BTCUSDT,1d
25,2020-10-26,13024.21,13240.0,12729.0,13047.24,316503.296,4121218762.83565,1105825,157389.764,2050474015.05994,BTCUSDT,1d
26,2020-10-27,13047.24,13787.83,13041.3,13629.38,411509.506,5533418976.94019,1299183,213506.947,2871048375.44906,BTCUSDT,1d
27,2020-10-28,13629.89,13863.0,12876.0,13256.17,476993.789,6377260018.41431,1564676,233144.485,3116858196.47847,BTCUSDT,1d
28,2020-10-29,13255.79,13637.22,12965.0,13446.65,355352.336,4735209655.61303,1247634,182192.752,2428564107.59832,BTCUSDT,1d
29,2020-10-30,13446.65,13665.65,13100.0,13549.12,349890.573,4684549159.29936,1245765,178139.677,2385629724.95437,BTCUSDT,1d
30,2020-10-31,13549.12,14140.0,13403.36,13783.73,357853.23,4923864620.90212,1344037,182804.838,2515861128.84144,BTCUSDT,1d
31,2020-11-01,13783.73,13891.52,13605.9,13752.86,198395.231,2727415103.81043,885249,97711.344,1343534847.02547,BTCUSDT,1d
32,2020-11-02,13752.87,13823.75,13195.0,13540.54,327991.768,4433952125.46344,1222326,161896.733,2189442537.81791,BTCUSDT,1d
33,2020-11-03,13541.55,14070.0,13276.33,14016.55,348730.51,4748953992.22126,1303446,177409.088,2417380647.73177,BTCUSDT,1d
34,2020-11-04,14016.55,14280.0,13512.0,14134.31,451433.42,6269163703.99695,1677175,229094.676,3181919979.03615,BTCUSDT,1d
35,2020-11-05,14134.32,15777.0,14088.01,15598.75,717489.697,10661964053.31626,2418730,355528.624,5281275217.72033,BTCUSDT,1d
36,2020-11-06,15598.74,15984.2,15177.0,15590.96,559380.06,8719764932.89141,2067927,260161.397,4056820812.44299,BTCUSDT,1d
37,2020-11-07,15590.95,15774.0,14350.0,14824.34,457582.681,6921481478.48889,1783469,217481.959,3289643705.77585,BTCUSDT,1d
38,2020-11-08,14824.33,15678.0,14710.0,15473.2,290616.393,4428801810.67248,1188596,140057.853,2134422582.04064,BTCUSDT,1d
39,2020-11-09,15473.2,15869.0,14822.0,15328.72,474181.983,7271506165.70421,1801578,225448.915,3458349120.75519,BTCUSDT,1d
40,2020-11-10,15328.72,15474.17,15071.0,15294.68,244073.495,3732294398.38728,1109192,117575.616,1798149601.39652,BTCUSDT,1d
41,2020-11-11,15294.68,16000.0,15274.89,15690.24,330772.852,5177231131.45298,1387218,159256.703,2493407884.93597,BTCUSDT,1d
42,2020-11-12,15690.24,16345.0,15437.7,16289.02,471759.126,7523910248.8996,1927371,234735.974,3745542477.12961,BTCUSDT,1d
43,2020-11-13,16289.01,16479.99,15955.6,16320.54,306656.359,4984405298.81905,1405591,144127.705,2343193250.77086,BTCUSDT,1d
44,2020-11-14,16320.54,16326.82,15700.0,16064.51,266206.937,4251500067.66192,1235238,135009.442,2156719599.99496,BTCUSDT,1d
45,2020-11-15,16064.51,16161.23,15768.0,15952.27,210318.453,3359401680.11398,1160914,109037.561,1741822737.27487,BTCUSDT,1d
46,2020-11-16,15951.93,16882.0,15862.0,16707.07,342459.329,5627638531.07377,1452989,180565.446,2967166855.27949,BTCUSDT,1d
47,2020-11-17,16707.0,17890.1,16550.0,17670.01,524094.697,9050160241.00472,2012288,261569.252,4512400955.00465,BTCUSDT,1d
48,2020-11-18,17670.01,18520.0,17215.03,17788.32,732937.097,13108477651.19909,2750334,352520.464,6306428689.02635,BTCUSDT,1d
49,2020-11-19,17788.32,18200.0,17347.27,17811.68,406500.977,7243709977.39353,1642647,198063.499,3531122531.31739,BTCUSDT,1d
50,2020-11-20,17811.68,18831.6,17748.92,18664.31,407926.802,7497709362.56215,1699255,196545.447,3612706221.05277,BTCUSDT,1d
51,2020-11-21,18662.85,18986.0,18302.08,18721.99,342412.49,6408035133.45486,1467289,160371.675,3001956086.54355,BTCUSDT,1d
52,2020-11-22,18721.99,18780.0,17645.98,18435.2,373779.417,6856294687.86623,1611056,174390.001,3198892160.56148,BTCUSDT,1d
53,2020-11-23,18434.17,18812.65,18013.97,18382.07,364221.378,6718716197.90407,1558298,175670.66,3240552006.68175,BTCUSDT,1d
54,2020-11-24,18382.07,19440.0,18000.0,19179.64,477968.289,9042446485.58226,2009567,227534.885,4304225416.67349,BTCUSDT,1d
55,2020-11-25,19178.53,19554.19,18509.12,18741.67,426276.99,8117262497.74923,1821978,200114.327,3813276519.75653,BTCUSDT,1d
56,2020-11-26,18741.66,18940.69,16181.0,17155.34,850692.856,14698559977.07114,3571835,401324.909,6932738422.11978,BTCUSDT,1d
57,2020-11-27,17155.37,17465.0,16444.83,17144.1,398072.933,6748491428.31569,1639548,191478.013,3247590460.26423,BTCUSDT,1d
58,2020-11-28,17144.11,17880.0,16865.78,17717.74,268833.749,4666900540.00932,1129925,129558.247,2250203980.09544,BTCUSDT,1d
59,2020-11-29,17717.74,18343.0,17523.0,18181.09,256024.006,4609730542.10836,1125785,130770.777,2356413236.21816,BTCUSDT,1d
60,2020-11-30,18180.43,19944.0,18178.82,19720.0,500482.574,9568806966.58092,2089768,257982.052,4930629706.98226,BTCUSDT,1d
61,2020-12-01,19722.09,19956.0,18050.0,18772.7,553885.333,10601482195.21762,2558348,268754.539,5146387321.84585,BTCUSDT,1d
62,2020-12-02,18770.33,19365.0,18329.58,19207.01,335717.482,6352815848.9335,1606530,164736.833,3118419441.82275,BTCUSDT,1d
63,2020-12-03,19207.01,19640.0,18865.0,19434.3,245020.576,4724323628.54077,1272309,121969.824,2352257007.3615,BTCUSDT,1d
64,2020-12-04,19432.66,19537.16,18570.0,18664.2,276271.939,5260370304.1658,1376095,130243.878,2480767591.89256,BTCUSDT,1d
65,2020-12-05,18662.72,19203.46,18510.0,19147.62,165912.647,3145507861.15582,946103,82521.25,1564751855.58149,BTCUSDT,1d
66,2020-12-06,19147.63,19449.1,18855.35,19375.02,176004.606,3370639869.06208,943780,87915.75,1684224667.03399,BTCUSDT,1d
67,2020-12-07,19375.0,19446.36,18908.66,19172.88,169402.371,3249551714.47632,926894,82063.358,1574431844.81235,BTCUSDT,1d
68,2020-12-08,19172.87,19319.38,18133.33,18319.32,280714.132,5279747287.14345,1351027,133427.044,2510341786.92502,BTCUSDT,1d
69,2020-12-09,18319.33,18639.7,17650.0,18537.98,353123.689,6424799134.15169,1673883,178303.953,3245713536.80042,BTCUSDT,1d
70,2020-12-10,18537.97,18550.0,17916.0,18253.51,233960.241,4271592591.3338,1241586,116243.722,2122841960.60726,BTCUSDT,1d
71,2020-12-11,18254.0,18290.44,17555.0,18031.47,317866.07,5689740183.80654,1563578,160142.007,2867277619.46507,BTCUSDT,1d
72,2020-12-12,18031.71,18950.0,18012.21,18800.0,196962.282,3641762062.74761,1080853,106123.938,1962692168.6893,BTCUSDT,1d
73,2020-12-13,18800.0,19432.0,18705.46,19175.07,239760.089,4594353525.456,1182585,121821.87,2334599624.83917,BTCUSDT,1d
74,2020-12-14,19175.06,19355.35,19004.72,19270.7,181555.823,3480597165.14886,1063827,90220.454,1730017045.771,BTCUSDT,1d
75,2020-12-15,19270.71,19598.0,19039.64,19424.91,248744.054,4809598929.89016,1313847,122075.043,2361458658.55847,BTCUSDT,1d
76,2020-12-16,19424.9,21600.0,19274.55,21346.8,459302.012,9357131523.97121,2298208,241794.889,4926403521.58637,BTCUSDT,1d
77,2020-12-17,21346.81,23888.04,21231.5,22816.99,823435.821,18707295908.07286,4179029,410694.991,9329002947.94464,BTCUSDT,1d
78,2020-12-18,22816.99,23330.0,22363.94,23124.35,305997.222,7000308998.92912,1812455,151397.139,3464553049.81717,BTCUSDT,1d
79,2020-12-19,23124.35,24281.61,22735.81,23847.28,337535.438,7938307873.86828,1930474,167811.299,3947885496.87695,BTCUSDT,1d
80,2020-12-20,23847.28,24376.0,23076.25,23472.96,322289.774,7612660738.46881,1951223,155605.498,3677419184.16979,BTCUSDT,1d
81,2020-12-21,23472.96,24145.0,21920.0,22730.1,476456.589,11000495257.06996,2612726,231309.94,5342893422.09471,BTCUSDT,1d
82,2020-12-22,22736.05,23850.0,22387.0,23826.99,326124.313,7526843284.05874,1923785,163772.657,3781514220.20078,BTCUSDT,1d
83,2020-12-23,23826.74,24235.42,22572.52,23238.27,394754.939,9276578416.54451,2386530,192721.439,4531460324.37955,BTCUSDT,1d
84,2020-12-24,23237.73,23819.81,22700.0,23737.44,237754.257,5517917922.31023,1532684,120539.758,2799029134.68061,BTCUSDT,1d
85,2020-12-25,23738.75,24827.64,23450.0,24730.0,284523.431,6874550222.92909,1821407,144345.703,3489090196.96053,BTCUSDT,1d
86,2020-12-26,24729.99,26926.0,24507.24,26508.83,367265.555,9382122680.48018,2300815,186138.692,4756955732.52784,BTCUSDT,1d
87,2020-12-27,26508.84,28459.84,25850.0,26305.64,540264.148,14678578951.91622,3325654,263441.238,7160381538.94652,BTCUSDT,1d
88,2020-12-28,26301.76,27538.82,26117.1,27102.66,267563.468,7224208281.73227,1946973,129242.798,3490324558.14382,BTCUSDT,1d
89,2020-12-29,27101.45,27441.73,25913.01,27402.83,260759.449,6956813209.79086,1833178,126931.719,3387490332.21496,BTCUSDT,1d
90,2020-12-30,27402.83,29063.72,27401.0,28906.99,374737.655,10558400366.54597,2363568,185801.158,5237447909.15044,BTCUSDT,1d
91,2020-12-31,28906.99,29376.7,27848.0,28951.68,313648.835,9030623930.44815,2151517,148980.53,4291721563.30506,BTCUSDT,1d
92,2021-01-01,28948.19,29668.86,28627.12,29337.16,210716.398,6157505024.08511,1511793,101247.902,2960175587.62208,BTCUSDT,1d
93,2021-01-02,29337.15,33480.0,28958.24,32199.91,545541.08,17122938614.7061,3514545,273388.463,8578964529.70894,BTCUSDT,1d
94,2021-01-03,32198.41,34832.25,32000.02,33054.53,487486.989,16389111411.5276,3325307,238761.657,8029365512.72767,BTCUSDT,1d
95,2021-01-04,33053.93,33653.56,27800.0,32031.07,506128.023,15879195836.25302,3470951,242947.199,7626162910.4066,BTCUSDT,1d
96,2021-01-05,32029.55,34500.0,29900.0,33999.52,433720.833,13959353458.55198,3077140,214417.082,6904989558.83828,BTCUSDT,1d
97,2021-01-06,33999.51,37037.51,33356.46,36823.68,444019.83,15515216052.16546,3343780,221236.888,7735680984.28917,BTCUSDT,1d
98,2021-01-07,36825.77,40565.62,36337.36,39498.92,520147.908,19955559504.79166,3936708,257944.968,9900486395.62111,BTCUSDT,1d
99,2021-01-08,39498.32,42125.51,36539.77,40637.23,518080.826,20667265854.49486,4247011,254344.167,10152865266.04328,BTCUSDT,1d
100,2021-01-09,40638.91,41539.88,38733.28,40136.04,260882.805,10520523013.40685,2489926,126105.315,5086880791.19798,BTCUSDT,1d
101,2021-01-10,40136.05,41412.12,35268.0,38221.67,436759.048,17027093434.55105,3699058,211717.223,8261995935.20996,BTCUSDT,1d
102,2021-01-11,38200.01,38322.18,30448.0,35408.46,906275.651,30742156595.35393,7483656,443696.59,15052872048.13838,BTCUSDT,1d
103,2021-01-12,35406.92,36693.44,32600.0,34056.9,449065.693,15590695938.85224,4292644,222279.828,7719925265.67209,BTCUSDT,1d
104,2021-01-13,34065.53,37880.0,32420.0,37421.07,398188.088,13803091615.05157,3801367,199377.684,6916994865.68764,BTCUSDT,1d
105,2021-01-14,37416.34,40189.39,36764.33,39163.31,353142.386,13663753723.40309,3501513,175843.746,6805766674.20038,BTCUSDT,1d
106,2021-01-15,39163.31,39790.0,34478.0,36755.24,437610.113,16148530126.35195,4212641,215685.402,7958729167.12342,BTCUSDT,1d
107,2021-01-16,36755.25,38000.0,35366.0,36025.66,301102.477,11103654689.8084,3011057,146509.381,5406319579.73528,BTCUSDT,1d
108,2021-01-17,36025.65,36898.0,33863.5,35869.83,287686.129,10206002445.01776,2832554,142749.218,5067322177.93342,BTCUSDT,1d
109,2021-01-18,35875.72,37547.94,34808.47,36686.86,253386.703,9167208119.70183,2509593,126929.278,4593293225.33017,BTCUSDT,1d
110,2021-01-19,36690.0,37961.0,35850.0,35891.03,257889.419,9530202433.37249,2463060,127747.175,4722978204.94744,BTCUSDT,1d
111,2021-01-20,35891.74,36461.44,33403.0,35500.0,329192.419,11521126165.52288,3069181,160202.354,5609941255.6082,BTCUSDT,1d
112,2021-01-21,35499.23,35636.17,30069.9,30879.97,550562.277,17863845664.01804,4767974,269649.681,8750951225.90137,BTCUSDT,1d
113,2021-01-22,30875.77,33831.52,28880.0,32986.34,453568.538,14265924156.72767,4072699,225783.671,7105649881.87084,BTCUSDT,1d
114,2021-01-23,32990.08,33495.0,31405.0,32086.48,256776.411,8300485557.20308,2533905,126744.171,4098792684.45926,BTCUSDT,1d
115,2021-01-24,32086.48,33125.75,30914.2,32275.63,212107.044,6824806447.15319,2205550,106443.006,3426090935.55021,BTCUSDT,1d
116,2021-01-25,32274.88,34880.0,31921.47,32253.68,316687.524,10588161978.70822,2871028,157598.395,5269771249.60753,BTCUSDT,1d
117,2021-01-26,32253.68,32950.0,30810.0,32474.14,346861.707,11060562208.1513,3088089,172363.344,5498592866.30905,BTCUSDT,1d
118,2021-01-27,32474.81,32562.2,29240.0,30381.04,431022.839,13269633440.99824,3665833,213394.744,6569777789.60455,BTCUSDT,1d
119,2021-01-28,30382.96,33778.95,29843.33,33399.75,311528.373,9909261735.25709,2824829,158511.479,5044260580.57025,BTCUSDT,1d
120,2021-01-29,33399.99,38641.1,31960.0,34269.35,713579.785,25293550971.74301,5920737,355439.304,12607381324.40294,BTCUSDT,1d
121,2021-01-30,34267.04,34988.88,32849.06,34289.85,267861.872,9109013883.23461,2754794,133627.383,4545355581.08445,BTCUSDT,1d
122,2021-01-31,34284.76,34393.22,32193.04,33126.21,211293.891,7052326918.52193,2233259,103318.718,3448995451.58184,BTCUSDT,1d
123,2021-02-01,33125.11,34720.0,32322.47,33546.09,240632.325,8121385637.13714,2421173,122660.726,4140348904.80228,BTCUSDT,1d
124,2021-02-02,33546.08,36041.0,33450.0,35504.06,239856.23,8364687573.37923,2345193,123537.063,4307892154.68184,BTCUSDT,1d
125,2021-02-03,35504.07,37700.0,35410.0,37652.51,240308.078,8788925454.96376,2331826,121022.039,4426236187.28981,BTCUSDT,1d
126,2021-02-04,37651.92,38833.0,36233.0,36976.93,306715.022,11507154016.35826,2825262,150086.367,5633298481.01459,BTCUSDT,1d
127,2021-02-05,36975.19,38411.82,36586.68,38362.65,196277.444,7395595524.77548,2144343,97203.231,3663358803.14247,BTCUSDT,1d
128,2021-02-06,38357.17,40992.4,38269.0,39249.54,310826.315,12369698321.04784,3050313,154728.277,6158712068.9744,BTCUSDT,1d
129,2021-02-07,39249.53,39757.87,37403.27,38849.25,296721.925,11466152232.53475,2896234,143721.734,5556013185.10293,BTCUSDT,1d
130,2021-02-08,38849.24,47146.0,38037.0,46451.32,440167.093,18769855154.62719,4374347,223454.335,9531054201.64643,BTCUSDT,1d
131,2021-02-09,46451.32,48266.36,45057.65,46492.54,381477.426,17820342806.81088,3957333,185490.943,8668372535.76928,BTCUSDT,1d
132,2021-02-10,46492.53,47475.0,43770.0,44850.0,334979.017,15286260787.69888,3259151,163672.458,7471185203.89336,BTCUSDT,1d
133,2021-02-11,44850.0,48810.0,44038.97,48060.21,330540.045,15468624715.76271,3326357,164596.168,7703204734.55109,BTCUSDT,1d
134,2021-02-12,48060.21,49278.98,46121.0,47361.03,259186.288,12341281000.02568,2862051,127514.459,6074419175.14162,BTCUSDT,1d
135,2021-02-13,47364.0,48290.0,46252.1,47221.62,199965.397,9438075938.38798,2253613,97689.069,4611739861.20951,BTCUSDT,1d
136,2021-02-14,47221.63,49875.16,47093.16,48655.21,241935.666,11797051402.90574,2598883,119727.737,5838366527.84185,BTCUSDT,1d
137,2021-02-15,48655.21,49100.0,45349.21,47981.58,248960.404,11872149326.83184,2721739,119328.817,5693484067.17141,BTCUSDT,1d
138,2021-02-16,47981.6,50953.44,47101.02,49197.94,343592.011,16865499630.28187,3477742,170702.582,8383271303.03656,BTCUSDT,1d
139,2021-02-17,49197.93,52800.0,49029.62,52194.62,312007.458,15897490858.65766,3332737,157467.485,8026680480.35362,BTCUSDT,1d
140,2021-02-18,52194.62,52640.0,50948.0,51619.7,185489.89,9627115933.97444,2199927,88315.345,4584365118.70008,BTCUSDT,1d
141,2021-02-19,51612.46,56582.0,50800.0,56004.1,257911.872,13784775685.92855,2913704,129990.325,6952543903.37133,BTCUSDT,1d
142,2021-02-20,56005.85,57699.0,53905.0,55917.41,240296.308,13529409884.87238,2830372,115701.933,6517025362.77697,BTCUSDT,1d
143,2021-02-21,55908.45,58472.14,55564.5,57487.43,196820.573,11254047090.53712,2277504,97912.556,5599464711.05343,BTCUSDT,1d
144,2021-02-22,57475.5,57591.87,47751.42,54121.1,480660.187,25951996709.77277,4903878,228365.294,12342132886.7966,BTCUSDT,1d
145,2021-02-23,54125.55,54260.12,44893.82,48930.0,748737.462,36297078764.52196,8009736,368110.652,17851832105.3483,BTCUSDT,1d
146,2021-02-24,48930.01,51435.58,47000.0,49702.03,333415.219,16590055728.58514,3748411,165014.334,8212207708.16425,BTCUSDT,1d
147,2021-02-25,49702.05,52134.96,46685.43,47089.37,349943.016,17447887799.89135,3922104,172353.771,8600369481.86736,BTCUSDT,1d
