,date,tx_count,price_usd,fee_total_btc,supply_btc,hash_rate,active_addresses
0,2020-10-01,304377,10606.6173325541,104.92605554,18505198.37650371,119056960.428763,922880
1,2020-10-02,315938,10570.1056777908,121.31761787,18506048.37649825,130578601.76057877,996361
2,2020-10-03,303899,10555.7054339567,69.1389914,18506992.12649825,144980653.4253485,1002444
3,2020-10-04,274508,10665.618622443,57.06685152,18507979.62649825,151587945.74942547,923546
4,2020-10-05,295868,10772.6355995909,100.04754586,18508854.62649825,134303836.4311297,946902
5,2020-10-06,318289,10596.3735493863,114.46013121,18509667.12649825,124710705.2574776,978521
6,2020-10-07,369576,10667.1943941555,108.33383901,18510610.87649825,144856280.72214702,1063425
7,2020-10-08,329472,10902.5293637054,103.39374193,18511623.37649825,155408725.0131643,1033122
8,2020-10-09,339374,11074.1036797779,110.16141041,18512509.88549825,136222462.66586015,1006667
9,2020-10-10,294652,11302.8542864407,75.12837831,18513403.11999825,137181775.7832253,917402
10,2020-10-11,257292,11378.2625284629,51.72072143,18514275.70034825,134303836.4311297,791020
11,2020-10-12,315903,11548.401556692,75.1001319,18515205.2681668,142937654.4874166,945894
12,2020-10-13,330320,11434.9687849211,73.30905492,18516242.24390416,159245977.48262516,1049377
13,2020-10-14,318750,11417.10811391,74.9332009,18517173.47788756,142937654.4874166,952949
14,2020-10-15,337702,11502.5812390415,76.76943659,18518117.22786026,144856280.72214702,1035214
15,2020-10-16,319791,11338.9871765634,63.13531232,18519085.97786026,148693533.19160783,973228
16,2020-10-17,278655,11362.8022174167,35.50804748,18520067.22786026,152593470.69353917,851147
17,2020-10-18,234650,11489.6225650497,37.25801212,18520817.22786026,119288755.69898535,744786
18,2020-10-19,303148,11745.8119675628,51.19663268,18521598.47786026,124259120.5197764,930306
19,2020-10-20,331386,11929.4572507306,78.26525349,18522498.47786026,143146506.83878234,1011847
20,2020-10-21,308240,12848.4906177674,119.36065891,18523310.97786026,129229485.34056744,1013298
21,2020-10-22,341549,12997.4993417884,166.80996828,18524167.22786026,136187996.0896749,1048775
22,2020-10-23,321018,12953.4296969608,140.25215872,18524983.98986026,130223558.30472566,977710
23,2020-10-24,304224,13113.8669231444,93.3237912,18525933.98986026,151099090.55204803,1098917
24,2020-10-25,242596,13041.6410374635,63.99985103,18526665.23986026,116306536.80651072,851199
25,2020-10-26,255058,13080.6561698422,117.7810379,18527352.73986026,109348026.05740324,825846
26,2020-10-27,255102,13675.5239275278,195.65821025,18527971.48986026,98413223.45166296,827512
27,2020-10-28,259212,13290.3288497954,226.40877873,18528596.48986026,99407296.41582118,817505
28,2020-10-29,277836,13475.2173007013,261.20613671,18529271.48986026,107359880.12908688,887772
29,2020-10-30,267995,13603.2960908825,264.8941163,18529965.23986026,110342099.02156147,901403
30,2020-10-31,274513,13807.2336110462,255.82083537,18530671.4793548,112330244.9498779,875335
31,2020-11-01,276664,13736.89941128,179.25705954,18531452.69451533,124259120.5197764,897445
32,2020-11-02,225214,13595.5647603741,215.46989198,18532046.44451533,94436931.59503014,777173
33,2020-11-03,330051,13996.915398597312,283.29122639,18532921.44450987,123534519.48211516,1029970
34,2020-11-04,319925,14129.148195499703,205.82925032,18533915.19447165,132689483.09191573,1175181
35,2020-11-05,319993,15606.46683372297,266.01134465,18534833.94446619,122675182.48120517,1071518
36,2020-11-06,334639,15618.972471361778,228.91087168,18535790.19446619,127682332.7865603,1080743
37,2020-11-07,273328,14866.356304500296,136.73902777,18536702.69446619,121840657.43031262,1055012
38,2020-11-08,243396,15500.000707188785,93.51738948,18537565.19446619,115164457.02317227,920529
39,2020-11-09,320528,15319.819972530682,141.12679205,18538721.44446619,154387134.41512182,1188873
40,2020-11-10,308276,15319.27567621274,156.33777491,18539640.19446619,122675182.48120517,1026623
41,2020-11-11,318925,15731.241105786092,105.98483935,18540558.94446619,122675182.48120517,1004339
42,2020-11-12,329630,16289.814897720637,105.30762673,18541558.94446073,133524008.14280824,1064270
43,2020-11-13,301426,16330.06276797195,100.3890895,18542427.69444435,115998982.3411126,999523
44,2020-11-14,272079,16102.010016949156,56.23647606,18543315.19444435,118502557.09321824,915336
45,2020-11-15,248137,15986.7549905903,42.34032535,18544252.69444435,125178757.6338828,845204
